umkm_id,author,rating,date_relative,text
bakso_beranak,Arief Trisno,5,7 bulan lalu,
bakso_beranak,Evitriana Susanti Hatta,5,7 bulan lalu,
bakso_beranak,Supriyadi23,5,7 bulan lalu,
bakso_beranak,Raja Sogovan Damanik,5,9 bulan lalu,Terimakasih bpk.smoga sehat2 slalu..sukses buat bapak..
bakso_beranak,Hendra Fernansya,3,10 bulan lalu,Daging Tongseng agak keras
bakso_beranak,Khairina Auralia,5,setahun lalu,"alhamdulillah sekarang uda ganti pelayan, dan sekarang pelayannya baik dan ramah banget . kalo dulu mau minta ganti menu bakso yang belum di tuang aja sampe menggerutu trs banting2 oggah banget kalo di inget inget, senyumnya juga gada euwh ."
bakso_beranak,Mawar Indah Juita Hutagalung Hutagalung,4,setahun lalu,
bakso_beranak,Rizki Ananda,5,setahun lalu,mantap
bakso_beranak,Fina Sari,1,setahun lalu,Yang jualan sok cantik muka burik aja hadeh sombong lg.... Awas bangkrut karna kesembongan. Kalau lah karyawan buat pemilik di perbaiki pelayanannya
bakso_beranak,Marcelino klose Tambunan,1,setahun lalu,"Saya sangat kecewa dngn bakso nyaa, bakso nya bau amiss, seperti ciri"" Bakso tikus yg saya baca di google, udah gitu pelayanan kurang ramah udh mukak jelek makin di jelek""in , klw ga niat kerja gush kerja ya mbakkk"
bakso_beranak,Muammar Akbar Febriano,5,setahun lalu,Baksonya mantap
bakso_beranak,RAY LUCK,3,setahun lalu,"Rasa kuah bakso ny mulai menurun dan tolong mie ayam dan bubur ny dibikin enak, masak harga 15 ribu tapi rasa ny lebih gk enak dari 8 ribu + porsi lauk buat bubur dikit lagi sama mie ayam ny"
bakso_beranak,Sampah Ku,1,setahun lalu,"Pantes sepi
Org pelayanan nya seperti itu
Kalo gak niat jualan gausa jualan mbak"
bakso_beranak,Annisa Rizky,2,2 tahun lalu,
bakso_beranak,Elvi Ginting,1,2 tahun lalu,"Beberapa orderan gak tersedia...padahal di menu banyak...
Minuman juga apa yg di order gak tersedia...di menu ada...
Suasana nya gelap kayak suram gitu kelihatan tempat nya...mungkin lampunya gak di nyalain semua...

Pesan siomay...agak berbau siomaynya ...
Pesan bakso nya juga kata temen saya yg dulu sering makan di sini ..rasanya sdh gak se enak dulu..walupun dulu saya belum pernah makan di sini...baruu pertama kali makan disini..

Dah itu aja dulu...mohon maaf ya Abang pemilik...tapi stelah saya baca ulasannya ternyata saya gak sendiri mengalaminya....entah kenapa sebelum makan disini gak liat liat rating dulu sebelumnya ....huu"
bakso_beranak,Nelson Tan,1,2 tahun lalu,Saya pesan di gojek bakso beranak dan bakso beranak santoso yg datang malah berbeda pesanan tidak pernah becus setiap pesan via online.
bakso_beranak,Teguh,1,2 tahun lalu,Kurang ramah terhadap pelanggan
bakso_beranak,Pribadi Cans,1,2 tahun lalu,"Kembalian Gk Ada yg beres, selalu di kasih uang koyak ( rusak ).

Pantasan tadi mau Balikan uang cepat cepat, rupa nya uang koyak dikasih🥴🥴.

Hati hati harap di periksa lagi kembalian nya gaes. Aku Barusan cek rupa koyak, Gk aku periksa periksa disana.

Soal rasa tadi saya makan mie bakso, kuah kayak air putih Gk ad rasa HAMBAR."
bakso_beranak,falted caramel,1,2 tahun lalu,"bad service, pesanan ga lengkap, ga ditanya mie apa, tau tau dateng mie putih padahal gasuka mie putih. dan ga dikasi saos, cabe, dll, kuah bakso terasa hambar"
bakso_beranak,taufa Raessyah,5,2 tahun lalu,"Baksonya terasa dagingnya,kuahnya juga gurih, pelayanan cepat, suasana ya nyaman lah untuk membawa keluarga"
bakso_beranak,Gaby Manurung,1,2 tahun lalu,"Teriamaksih atas bintangnya,,agar kami bs perbaiki yg lebih baik lagi ya,,🙏 …"
bakso_beranak,Fareq,1,2 tahun lalu,ngeri kli coy pelayanannya
bakso_beranak,Xixixiix Kzkzkzk,1,2 tahun lalu,sok kli pun pelayannya
bakso_beranak,Boby Mamen,5,2 tahun lalu,"Terimaksih atas bintangnya ya,,smoga kdepannya berusaha yg lebih baik kembali,,🙏 …"
bakso_beranak,Kiki Ryder,1,2 tahun lalu,"singgah kesini buat makan siang yg udah kesorean...Baru pertama kali makan disini udah bad service bgt, + lagi aku pesan nasi goreng, dan setelah dtng nasi nya udah BAU Alias udah mo BASI, yakali nasi udah mo basi masih di jual, fatal bgtt😑🤮
Pas aku komplain tentang nasinya udah mau basi, si karyawannya bilang...""OH MUNGKIN INI NASI TADI PAGI KA YG DIPANASIN LAGI"" bisa kali gitu ya...
Yahh walau diganti si sama Nasi yg baru, tapi kesan pertama aja udah jelek gak lagi la makan dsini!!!"
