umkm_id,author,rating,date_relative,text
istana_nasi_goreng,Adinda Mufida zahra,1,4 hari lalu,"nasi goreng nya enggak ada rasa
sama ifu mie goreng nya asin kaliiie"
istana_nasi_goreng,Abdul Rouf,5,4 hari lalu,Enak kalee
istana_nasi_goreng,Ferik Talsim,5,2 minggu lalu,Nasi goreng daging ayam + semur telur + acar cabe rawit ( SEMPURNA ) titik!!!
istana_nasi_goreng,Yesi Sii,5,setahun lalu,Mantul
istana_nasi_goreng,Dheny Fachri,5,setahun lalu,
istana_nasi_goreng,martin rizky,1,2 tahun lalu,"Makannya kurang enak, agak basi ya gaes"
istana_nasi_goreng,Rudy Hie,4,2 tahun lalu,
istana_nasi_goreng,nurhayati,5,2 tahun lalu,"Bukan memuji karna lokasinya disamping rumah ya. Tapi memang nasgor dan menu lainnya disini memang gaada lawan, mana porsinya banyak harga terjangkau. Top lah"
istana_nasi_goreng,Hamid Journey,4,2 tahun lalu,"Beberapa waktu lalu saya kesini dan pesan beberapa menu : Nasi goreng, capcay, ifumie, jus martabe, dan jus jeruk (76 k). Untuk rasa menurut saya lumayan enak, porsi banyak, harga terjangkau, dan pelayanannya ramah."
istana_nasi_goreng,Hugo Gabriel,5,2 tahun lalu,"Nasi goreng nya enak, acar nya bebas ambil sendiri wkwkw.. service ramah polll bakal dtg lg sih, soalnya setiap plg kerja selalu lewat sini 👍👍"
istana_nasi_goreng,Jefri melon Barus,5,3 tahun lalu,
istana_nasi_goreng,evandoni evandoni,3,3 tahun lalu,
istana_nasi_goreng,sp barus,4,3 tahun lalu,"Nasi gorengnya 7 lah dari 10,Capcaynya enak, porsinya bisa buat 2 orang, suasananya agak berisik karna pas dipersimpangan jalan, parkir juga di pinggir jalan."
istana_nasi_goreng,aulia koto,5,3 tahun lalu,"Nasi gorengnya enak, klo bungkus byk bnget dikasih.. Skrg toping nya full pake daging sapi..jd tmbah endul..tempatnya strategis,, diantara persimpangan, jd bisa nongki smbil liat suasana lalu lintas persimpangan.."
istana_nasi_goreng,Rovilino Fristama,4,3 tahun lalu,
istana_nasi_goreng,rizal koto,5,3 tahun lalu,Ok sih
istana_nasi_goreng,Vani Van,5,3 tahun lalu,Untuk nasi gorengnya menirit saya kurang nendang sih yah. Tapi gak salahnya kalo teman2 pengen cobain yah nasgor sini heheh
istana_nasi_goreng,Azhar Bintas,5,3 tahun lalu,
istana_nasi_goreng,Herwin Jonathan,4,3 tahun lalu,
istana_nasi_goreng,Gabriel Batistuta,4,3 tahun lalu,
istana_nasi_goreng,Hengky Sunantha Pane SE,5,3 tahun lalu,
istana_nasi_goreng,dody suryandi,5,3 tahun lalu,
istana_nasi_goreng,Hdr Tzr,5,3 tahun lalu,NasGor Lezat 👍👍👍
istana_nasi_goreng,Ade Intan Christian,5,3 tahun lalu,
istana_nasi_goreng,Hasbi Azhari,5,3 tahun lalu,
istana_nasi_goreng,Alloi hw,4,3 tahun lalu,
istana_nasi_goreng,Husein Aribowo,5,3 tahun lalu,"cobain capcai ala acehnya deh, enak sih... 👌 …"
istana_nasi_goreng,Turmizi Ishak,5,3 tahun lalu,Mantap lagi sedap
istana_nasi_goreng,Firman Kelana,5,3 tahun lalu,
istana_nasi_goreng,Rodiyana Fajri,5,3 tahun lalu,
istana_nasi_goreng,RISTIA HADINATA,5,3 tahun lalu,Mantap masakannya langganan saya..
