umkm_id,author,rating,date_relative,text
nasi_goreng_komdak,Muhammad Khadafi,5,4 hari lalu,"Terima kasih atas ulasan positif ini 🙏🏽🙏🏽🙏🏽
 …"
nasi_goreng_komdak,Raja Manullang,5,5 hari lalu,"Terimakasih ulasan baiknya 
Dan di tunggu kedatangan selanjutnya 
🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽 …"
nasi_goreng_komdak,Wirianto Tanoto,5,sebulan lalu,Nasgor legend di kota Medan dan ada jual martabak telur versi india terenak di Medan. Mantapp
nasi_goreng_komdak,Fernando Alex,5,2 bulan lalu,
nasi_goreng_komdak,Agung Tritantyo,5,3 bulan lalu,Terima kasih 🙏🏽 🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽 …
nasi_goreng_komdak,iwan friandy,5,3 bulan lalu,
nasi_goreng_komdak,ANDIKA HADI,4,Diedit 4 bulan lalu,Rumah makan nasi goreng Komdak yg sudah terkenal dikota medan..khususnya pada malam hari..tersedia aneka varian makanan juga...citarasa nasi goreng ok..harga terjangkau...pesan fresh orange juice ...
nasi_goreng_komdak,Bite n Vibe,4,6 bulan lalu,"Katanya ini salah satu nasgor legend di Medan.
Kemarin saya coba makan yg ayam, ya oke sih rasa nya. Oke la yaa 😄
Trus katanya wajib coba es jeruk di sini. Memang es jeruk nya benar2 rasa nya dari jeruk asli.
Trus kemarin iseng coba sate kerang ternyata sate kerang nya enak..
Peyek kacang nya juga enak.
Mungkin next time mau coba tes makan sate madura nya soalnya banyak yg pesan itu juga 😆"
nasi_goreng_komdak,Yoshie Kesuma Diniaty Rambe,4,6 bulan lalu,"untuk rasa nasi gorengnya lumayan sih tapi ga terlalu gimana gimana juga. jus pokat nya aku suka, lemakkk🥰"
nasi_goreng_komdak,Andi Baron,1,6 bulan lalu,
nasi_goreng_komdak,Sabun Mandi,1,7 bulan lalu,"Rasa Makanan biasa aja, tidak sesuai dengan harga nasi goreng 19rb/porsi. Pelayanan sangat tidak ramah terutama kasir nya. Kalau tidak ada perubahan saya jamin akan tutup pada waktunya. Hati-hati disini wajib beli minuman kalau ndak siap-siap kena jutekin pegawai dan kasirnya"
nasi_goreng_komdak,Hari Winarta,3,8 bulan lalu,Terima kasih
nasi_goreng_komdak,sahid Mu,2,8 bulan lalu,Kurang nyaman makan di tempat
nasi_goreng_komdak,suteja luak,3,9 bulan lalu,"Salah satu nasgor terenak di kota medan, sering beli take away. tapi harus selalu makan hati lihat sikap perempuan yg terima orderan. sombong, ngmg sama dia seolah2 ngmg sama pohon pisang 🤣. untung saja sudah bertahun2 masih tetap jadi karyawan. mau gimana lagi sikapnya kalau jadi bos."
nasi_goreng_komdak,Emas Hitam100,5,10 bulan lalu,Kalau jalan ke medan salah satu tempat makan legend yang wajib dikunjungi..letaknya di zainul arifin...dekat sun plaza dan gereja ..dan depan kuil hindu...bagi saya nasi gorengnya terasa pas di lidah dari sekian tempat nasi goreng yang ada...cari parkir di sebelah kiri badan jalan agak ke depan dari tempat nasi goreng..kalau parkir di depan toko agak repot apalagi kalau rame..buka sore ampe tengah malam
nasi_goreng_komdak,Aidil syahfitra,5,10 bulan lalu,sesuaikan lidahmu.
nasi_goreng_komdak,Legolas greenleaf,2,11 bulan lalu,Kasir jutek
nasi_goreng_komdak,Anindya Gayatri,5,Diedit 11 bulan lalu,
nasi_goreng_komdak,khusus joox,1,setahun lalu,"Ga mau panjang lebar.

Rasa nya meh, cendrung mid, gw udh keliling bbrp daerah di indonesia, nyobain nasgor, untuk yang ini tipikal sama aja rasanya sama nasgor lain dikota medan.

Hospitality nya, awal masuk enak, pas mau bayar buset, berasa kayak gw nyusahin kasirnya satu turunan, orang bayar wak, ga nyusahin lu juga, tinggal terima duit aja respon nya macam orang nyusahin satu turunannya. Itu cicinya kalo ga niat jaga kasir, suruh orang lain aja, not good for business lah.
Ada level jutek, nah itu kasir nya diatas level jutek.

Sekian"
nasi_goreng_komdak,akhid nur khoirudin,3,setahun lalu,"Penyajian cepat, nasi gorengnya agak asin"
nasi_goreng_komdak,Jaki Pratama,4,setahun lalu,"Nasi goreng nya yg saya rasakan biasa aja.
Perbedaan yg saya liat kemasan bungkus yg berbeda dari yg lain menggunakan daun pisang ."
nasi_goreng_komdak,Ervan Prasetyana,5,setahun lalu,Nasgor asli ini enaknya dibuang aja masyaallah
nasi_goreng_komdak,jimmy k,4,Diedit setahun lalu,"Orang-orang datang ke sini untuk makan nasi goreng (makan malam) dan dulunya nasi goreng di sini adalah yang terbaik. Itu terjadi di tahun 90-an. Sebagian besar waktu, nasgor (nasi goreng) di sini memang yang terbaik. Tapi entah kenapa, kalau dibawa pulang, rasanya kurang enak. Pesan jus jeruk di sini dan lauk pauk lainnya seperti sate dan martabak untuk melengkapi hidangan Anda. Meja-meja mungkin penuh hampir setiap malam (akhir pekan)."
nasi_goreng_komdak,sam Mariella,4,setahun lalu,"Ini nasi goreng legend, seperti nya sudah ada sebelum sun plaza ada.

Menurut saya, dari masa ke masa, ada perubahan rasa dari nasi goreng ini. Mungkin karena yang menggoreng beda, mungkin juga karena yang nenikmati  berubah kriteria.

Kali ini saya makan nasgor ini saya merasa rasa beda dengan yang dulu."
nasi_goreng_komdak,Ikhsan Syahputra,1,setahun lalu,Gak ada ramah sama sekali. Pelayanan kasar porsi nasi sedikit harga mahal. Skip jauh jauh pas datang kecewa pelayanan 👎
nasi_goreng_komdak,Tandy Sutanto,5,setahun lalu,Makasih 🙏🏽🙏🏽🙏🏽 …
nasi_goreng_komdak,Sahil Matondang,5,setahun lalu,Terima kasih 🙏🏽🙏🏽🙏🏽 …
nasi_goreng_komdak,forza fangga,4,setahun lalu,Terimakasih
nasi_goreng_komdak,Harris Channel,5,setahun lalu,Langganan sejak awal tahun 2000an
nasi_goreng_komdak,Riza F Djauhari,5,setahun lalu,Enak semua dengan vibes riuh ramai serunya
nasi_goreng_komdak,Alexander Tj,3,setahun lalu,"nasi goreng blue band, telur blue band.. serasa makan blue band"
nasi_goreng_komdak,Nurohman,4,setahun lalu,Makasih 🙏🏽🙏🏽🙏🏽 …
nasi_goreng_komdak,ferranda,5,setahun lalu,"nasi gorengnya bumbunya berasa, paling suka sama sate ayam maduranya.."
nasi_goreng_komdak,Rina Sagita,5,setahun lalu,"Nasi gorengnya enak, porsi pas, es jeruknya juga segerrr, tempat ramaiii sekali"
nasi_goreng_komdak,Irwan Zaily,4,Diedit setahun lalu,"Kuliner legendaris saat Anda mengunjungi Kota Medan. Makanan terbaiknya adalah nasi goreng, disajikan dengan remah roti yang lezat atau telur mata sapi. Namun, sedikit yang tahu, sate juga enak, dijual tepat di sebelahnya."
nasi_goreng_komdak,Mufti Muhammad Arsyad,5,setahun lalu,Makasih 🙏🏽🙏🏽🙏🏽 …
nasi_goreng_komdak,Muhammad Furqan Yusuf,5,setahun lalu,Makasih 🙏🏽🙏🏽🙏🏽 …
nasi_goreng_komdak,dhafin channel,5,setahun lalu,Terimakasih
nasi_goreng_komdak,Harryson Wong,5,setahun lalu,Makasih ko 🙏🏽🙏🏽🙏🏽 …
nasi_goreng_komdak,Almira D P,5,setahun lalu,Makasih 🙏🏽🙏🏽 …
nasi_goreng_komdak,Berkat Warae,5,setahun lalu,
nasi_goreng_komdak,Mhd Ibnu Imwi Habibi Dalimunthe,4,setahun lalu,
nasi_goreng_komdak,Bobby Lesmana,4,setahun lalu,Terlalu ramai dan berasap...
nasi_goreng_komdak,Afandi Fandi,5,setahun lalu,
nasi_goreng_komdak,Rizki Muhammad,5,setahun lalu,
nasi_goreng_komdak,Em “C/24/H” Six,5,Diedit setahun lalu,Terima kasih 🙏🙏🙏 …
nasi_goreng_komdak,Sabri Basyah,4,setahun lalu,
nasi_goreng_komdak,Ian Otard Kognac,4,setahun lalu,"Nasi goreng yang bukanya di malam hari hingga tengah malam, Parkiran mobil sangat terbatas dan kondisi depan jalanan sangat macet di weekend.

Rasa nasi gorengnya standar tetapi unik karena ada rasa menteganya, tetapi untuk bumbu nasi gorengnya terasa kurang nendang. Restoran ini juga menjual sate madura apabila ingin memesan makanan selain nasi goreng."
nasi_goreng_komdak,Sehat Siawang,5,setahun lalu,"Salah satu rekomendasi nasi goreng di kota ini. Nasi gorengnya lezat, rasanya khas, bermentega, dan dibungkus daun pisang. Cocok untuk dibawa pulang. Harganya terjangkau dan pelayanannya juga oke.

Lokasinya juga strategis, dekat dengan Sun Plaza, tempat wisata, dan beberapa tempat kuliner lainnya. Patut dicoba."
nasi_goreng_komdak,Asdar Raya Rangkuti,4,Diedit setahun lalu,"sebagai pendatang di kota medan katanya wajib coba salah satu nasi goreng legendaris di medan.
soal rasa kembali ke selera masing2,kalau soal suasana & tempat sudah banyak yg review.
tidak hanya jual nasi goreng ada juga sate, roti cane, dll.
waktu kesini pesan sate juga,rasanya juga cukup enak."
nasi_goreng_komdak,Jenatan Sianipar,5,2 tahun lalu,Terima kasih 🙏🙏🙏🙏 …
nasi_goreng_komdak,Christy Nanlohy,5,2 tahun lalu,"Dagingnya enak, tpi nasgor kureng. Kurang mantul, mungkin bakal survey nashortlain"
nasi_goreng_komdak,Teddy Kaji,5,2 tahun lalu,Terima kasih
nasi_goreng_komdak,Rini Widiastuty,5,2 tahun lalu,
nasi_goreng_komdak,Stefanus Gulö,4,2 tahun lalu,Nasi gorengnya enak
nasi_goreng_komdak,Сергей Дубракович,4,2 tahun lalu,harga murah sesuai kualitas
nasi_goreng_komdak,Dian Mustaqim,5,2 tahun lalu,
nasi_goreng_komdak,Anriadi Tinambunan,4,2 tahun lalu,Rekomended.
nasi_goreng_komdak,Cristina Sihotang,5,2 tahun lalu,
nasi_goreng_komdak,Erwin Loe,5,2 tahun lalu,
nasi_goreng_komdak,Veralica Selvia,5,2 tahun lalu,
nasi_goreng_komdak,Adrian Michael deQueljoe,5,2 tahun lalu,Top markotop
nasi_goreng_komdak,Edward Brother,5,2 tahun lalu,
nasi_goreng_komdak,harmoni Lumban Gaol,5,2 tahun lalu,
nasi_goreng_komdak,Robinson Ody,5,2 tahun lalu,
nasi_goreng_komdak,Ardian One (ard),5,2 tahun lalu,
nasi_goreng_komdak,Robert Simanjuntak,5,2 tahun lalu,
nasi_goreng_komdak,Arief Rama Syarif,5,2 tahun lalu,"Rasa nasi gorengnya menjadi legenda membuat makan satu piring terasa kurang.

Rasa Es  jeruk 🍊 nya juara sebagai teman bersantap.

Hanya saja ... Kapasitas rumah makannya perlu ditingkatkan untuk menampung lebih banyak pengunjung."
nasi_goreng_komdak,Little Boss,5,2 tahun lalu,"Untuk rasa ya enak, cuma utk makan ditempat kurang pas, krn sering rame, mending beli bungkus."
nasi_goreng_komdak,Muhammad mansyur lubis,4,2 tahun lalu,
nasi_goreng_komdak,Armansyah,5,2 tahun lalu,
nasi_goreng_komdak,Junghans Ayung,5,2 tahun lalu,
nasi_goreng_komdak,CAST,5,2 tahun lalu,Nasi goreng enak. Dibungkus pakai daun pisang. Saran ambil telurnya pakai jepitan agar tidak kontak langsung dengan tangan
nasi_goreng_komdak,ichsan choiril,5,2 tahun lalu,Mantap nasi goreng nya
nasi_goreng_komdak,Willy Saputra,1,2 tahun lalu,
nasi_goreng_komdak,Rosdiana Tarigan,5,2 tahun lalu,
nasi_goreng_komdak,Ery Wu,5,2 tahun lalu,
nasi_goreng_komdak,Fadillah,5,2 tahun lalu,
nasi_goreng_komdak,RANDOM SHIT,5,Diedit 2 tahun lalu,👌
nasi_goreng_komdak,Ronny Dharmawan,1,2 tahun lalu,"Beli via grab, daging sapi nya basi. Sangat kecewa"
nasi_goreng_komdak,Wibowo Paul,5,2 tahun lalu,Terimakasih 🙏🙏🙏🙏🙏🙏 …
nasi_goreng_komdak,Arjuna Marcelino,5,2 tahun lalu,"Rasa nasi gorengnya gurih, ditambah telor dan potongan daging cincang. Minumnya pakai es jeruk biar seger. Harga cukup terjangkau."
nasi_goreng_komdak,Robby Effendi,5,2 tahun lalu,Terimakasih 🙏 ke  …
nasi_goreng_komdak,Muhammad Angginta,5,2 tahun lalu,
nasi_goreng_komdak,Chairul Yaumiah,4,2 tahun lalu,Menunya banyak rasanya standar harga terjangkau
nasi_goreng_komdak,Simon Bangun,5,2 tahun lalu,"Nasgor, Mie Rebus, Sate, dan  Es Jeruk  enak dan mantap👍👍"
nasi_goreng_komdak,Leonardo Dairi,5,2 tahun lalu,
nasi_goreng_komdak,Ratna Amini,5,2 tahun lalu,
nasi_goreng_komdak,Azis Angga,5,2 tahun lalu,
nasi_goreng_komdak,Stina San,5,2 tahun lalu,
nasi_goreng_komdak,Mitha,4,2 tahun lalu,"Fried rice legend nih langganan gw but the taste biasa aja sih kadang enak kadang kurang.kalo ke sini selain pesan nasgornya pesan mie rebusnya but not bad,sate madura sapi is good..best nya orange juice.Good service tapi suasana nya panas yaa"
nasi_goreng_komdak,Indra Suhada,5,2 tahun lalu,
nasi_goreng_komdak,Ratno Hadi Sunaryo,5,2 tahun lalu,
nasi_goreng_komdak,Rizki Maulana,5,2 tahun lalu,"Nasgor Legend, gw demen sm rasa yg rempahnya berasaaaa"
nasi_goreng_komdak,Erfin Johansen,1,2 tahun lalu,"19 rb untuk nasgor gini, bener2 ga worth it

Apalagi pelayanan karyawannya, cuek bgt."
nasi_goreng_komdak,Sari Psrb,3,2 tahun lalu,Nasgor nya biasa aja sih..
nasi_goreng_komdak,Reza Pohan,5,Diedit 2 tahun lalu,"Restoran legend dikota Medan
Untuk rasa nasi goreng sebenarnya biasa saja, kebanyakan orang makan disini karena faktor nostalgia.
Es jeruk nya juara 👍"
nasi_goreng_komdak,Agus Gega Satyagraha (gegasatya),5,2 tahun lalu,
nasi_goreng_komdak,Ibel Lubis,5,2 tahun lalu,
nasi_goreng_komdak,Ammar Abdad,1,2 tahun lalu,"Harga utk naik,kualitas jauh dr dulu dulu.. apalagi pembelian tgl 22 sept 2023.. nasi benyek, lembek. Tak ada enaknya. Dulu sering makan dstu tapi gak separah ini.. menyesal harga 19rb tp kualitas kyk harga 7rb"
nasi_goreng_komdak,Elley Liem,4,2 tahun lalu,
nasi_goreng_komdak,anggi 37,5,2 tahun lalu,
nasi_goreng_komdak,hardianti ajeng,5,2 tahun lalu,
nasi_goreng_komdak,Freddy Sihombing,3,2 tahun lalu,
nasi_goreng_komdak,Christine Djuli,3,2 tahun lalu,
nasi_goreng_komdak,lili sari,5,2 tahun lalu,Terimakasih 🙏 …
nasi_goreng_komdak,Dishes & Services Observer,1,2 tahun lalu,Terdpt seperti bulu² halus di pinggir piring berisi nasgor.
nasi_goreng_komdak,Sahdra Saragih,5,2 tahun lalu,
nasi_goreng_komdak,Rahma Tarigan,5,2 tahun lalu,
nasi_goreng_komdak,Henry pasaribu,5,2 tahun lalu,
nasi_goreng_komdak,Een Hasjmi,5,2 tahun lalu,Suasana jaman dulu nya masih berasa kalau masuk ke sini.
nasi_goreng_komdak,D Shafrizal,5,2 tahun lalu,
nasi_goreng_komdak,Thalia Dea Sakina,5,2 tahun lalu,
nasi_goreng_komdak,INDONESIA BERKARYA Institute (Zaisikanotary),5,2 tahun lalu,
nasi_goreng_komdak,Suga Nathan,5,2 tahun lalu,Mantap
nasi_goreng_komdak,rafika suryani,4,2 tahun lalu,"SNI, standar nasigoreng Indonesia, mgkn karna sdh legend. Tpi boleh la buat mengenang..mantap"
nasi_goreng_komdak,mhd taufik,5,2 tahun lalu,
nasi_goreng_komdak,Jimmy O,5,2 tahun lalu,
nasi_goreng_komdak,Queen Marcia,5,2 tahun lalu,
nasi_goreng_komdak,Hanae,5,2 tahun lalu,Ada bayar parkirnya tak  ?
nasi_goreng_komdak,Daniel Okisita Ginting (Daniel O.G.),4,2 tahun lalu,
nasi_goreng_komdak,dudi harianto,4,Diedit 2 tahun lalu,nasi goreng sama es jeruk nya enak
nasi_goreng_komdak,Agustinus Samosir,4,2 tahun lalu,Porsinya kurang banyak. Rasa mayan lah
nasi_goreng_komdak,Tri Sya,5,2 tahun lalu,
nasi_goreng_komdak,usanajojo,5,2 tahun lalu,"Street food yang paling asyik di Medan. Harga bersahabat, porsi pas, rasa berkelas.

Hanya saja kebersihan meja, kursi, lantai, tempat masak, dll harus diperhatikan."
nasi_goreng_komdak,Raudha Anggraini Tarigan,4,2 tahun lalu,"Enak, tp sangat riwehhh tempatnya tidak mendukungg..."
nasi_goreng_komdak,Faisal Inalum,5,2 tahun lalu,Dari kecil emang uda langganan....emang legend soal nasi goreng di medan
nasi_goreng_komdak,Windoko Lidian,5,2 tahun lalu,
