umkm_id,author,rating,date_relative,text
nasi_goreng_pandu,Rabiatul adawiyah,1,14 jam lalu,"Pelayanan 0, karena pelayan tidak dipanggil karena makanan kami tidak kunjung datang selama hampir satu jam, meja di depan kami sudah menerima pesanan sebelum makanan kami datang, ada 1 pelayan yang juga dipanggil tetapi tidak mau datang, sampai saya marah karena makanan tidak kunjung datang padahal sudah diantar dan masih tidak panas, bayangkan jika saya memanggil pelayan 10 kali karena makanan tidak kunjung datang dalam waktu lama dan pesanan saya diabaikan, sampai mereka marah ketika mereka mengantarkan pesanan saya."
nasi_goreng_pandu,yapto dwi irawan,4,4 bulan lalu,
nasi_goreng_pandu,Maya Sari,1,4 bulan lalu,"Pegawai tidak tau antrian makan
Orang yang baru datang langsung di kasih sedangkan saya menunggu sampai 45 menit"
nasi_goreng_pandu,BANGUN Rumah CAT dan Renovasi,5,5 bulan lalu,Ikan bakarnya enak
nasi_goreng_pandu,Effendy,2,Diedit 5 bulan lalu,
nasi_goreng_pandu,Eva Mery,5,6 bulan lalu,
nasi_goreng_pandu,Muklis 90,5,7 bulan lalu,Enk masakan nya
nasi_goreng_pandu,Fransiska ayu Suliandri,5,7 bulan lalu,Untuk orng2 yg porsi makanya kecil cocoklah makan di sini tapi rasanya ttp enak apalagi yg nasi goreng kambing
nasi_goreng_pandu,Bilmart Sidabutar,5,8 bulan lalu,
nasi_goreng_pandu,dna nana,5,9 bulan lalu,Enak semua masakannya ikannya gak bau amis samsek....
nasi_goreng_pandu,Rusdianto,5,9 bulan lalu,
nasi_goreng_pandu,Hadianto Ahong,4,10 bulan lalu,"cukup rasa, wangi, dan lumayan murah, tp porsi nya , nanggung"
nasi_goreng_pandu,winnie kho,5,10 bulan lalu,
nasi_goreng_pandu,iramaya meiling,5,11 bulan lalu,
nasi_goreng_pandu,doli_uli S S,5,setahun lalu,
nasi_goreng_pandu,karin KAY,5,setahun lalu,Langganan
nasi_goreng_pandu,Akhtar Pagan,1,setahun lalu,Layanan nya gak jelas nunggu 1 jam GK ada makanannya
nasi_goreng_pandu,Asyfa,4,setahun lalu,"Disini yang mantap itu ikan bakarnya, kalau ayamnya menurut ku pribadi kurang☺ bumbunya gak meresap/dikit.

Tapi klo ikan bakarnya enak poll"
nasi_goreng_pandu,Ecko,4,setahun lalu,
nasi_goreng_pandu,Jimdandy 009,5,setahun lalu,
nasi_goreng_pandu,Dony Chandra,5,setahun lalu,
nasi_goreng_pandu,Aya Three,5,setahun lalu,
nasi_goreng_pandu,lalaa poo,5,setahun lalu,
nasi_goreng_pandu,Firza Riani,5,setahun lalu,
nasi_goreng_pandu,You Justone,5,setahun lalu,bolak balik datang kesini karna rasanya yg enak dan gak ngebosenin
nasi_goreng_pandu,iskandar Safri Hasibuan,3,setahun lalu,Seruput👍
nasi_goreng_pandu,David Yasin,5,setahun lalu,Nice nasi goreng resto
nasi_goreng_pandu,Syaqirana Adiba,3,setahun lalu,"Pertama kali makan disana bareng kawan kerja malem-malem pesan saya pesan nasi goreng telur mata sapi setengah matang (dikasih nasi tambah gatau bayarnya berapa) terus saya pesan air mineral, kawan saya pesan menu yang sama tapi minumnya teh manis panas sama es kosong.

Selesai makan mau bayar harga saya 25k sama nasi goreng dibungkus bawa pulang 1 20k total 45k, kawan saya kenanya 25k padahal minumnya manis panas dan es kosong.

Hari ini saya beli bungkus harganya sebungkus 15k sudah ada telurnya juga.

Memang untuk rasa saya suka dan ini bisa dibilang enak, tapi untuk harga kayaknya suka hati yang jual ya…

Dan yang saya pantau juga penjual ini mandang fisik. Saat malam itu teman kerja saya masih on point sedangkan saya sudah style siap sedia tidur dan pelayanan yang saya dapat mirip karen dinner wkwkwkwk. Hari ini saat saya datang dengan pakaian yang bagus penjual langsung ramah dan bangkit semua."
nasi_goreng_pandu,Dian Sahputra,1,setahun lalu,G enak menang rame aja
nasi_goreng_pandu,Suprayetno Marbun,5,setahun lalu,
nasi_goreng_pandu,Ng Poi Wong,5,setahun lalu,"Kalau menu, ikan bakarnya mantap, khususnya gurami. Tapi yang paling mantap adalah sambal cabe ijo, DA BEST lah pokoknya....
Kalau soal suasana, wajarlah, namanya aja kaki 5, tapi rasanya mah, bintang 5...."
nasi_goreng_pandu,Laser Tattoo,5,setahun lalu,
nasi_goreng_pandu,Alfian Christianto,3,setahun lalu,Bintang 3 dulu. Mau coba tutup. Ga ada plang nama pula
nasi_goreng_pandu,Lirta P,4,2 tahun lalu,"Lumayan rame tempatnya. Uniknya nasi gorengnya ada kaya ayam semur gitu. Kalau soal enak atau engganya, itu selera ya. Soalnya tempat ini lumayan rame. Harga menurut sy, sangat2 terjangkau."
nasi_goreng_pandu,Rendy Pratama,5,2 tahun lalu,
nasi_goreng_pandu,Ilham Khaliq,5,2 tahun lalu,
nasi_goreng_pandu,Fery f.k siregar,5,2 tahun lalu,
nasi_goreng_pandu,riki Ramadhan,1,2 tahun lalu,Pelayanan kurang ramah.plus yg punya kurg sopan..sombong x cakapnya...
nasi_goreng_pandu,Seng Hua,4,2 tahun lalu,
nasi_goreng_pandu,novian novian,4,2 tahun lalu,Nasi goreng gaya Minang
nasi_goreng_pandu,Sup Riadi,5,2 tahun lalu,
nasi_goreng_pandu,Rijalul halimi,5,3 tahun lalu,"Enak, murah porsi banyak"
nasi_goreng_pandu,21_029_M.Raihan Arisyi,5,3 tahun lalu,
nasi_goreng_pandu,Dofil Ahriandi,1,3 tahun lalu,
nasi_goreng_pandu,DSB Fishing,5,3 tahun lalu,Sudah ada menu ikan bakarnya..bumbunya juara
nasi_goreng_pandu,Abli Panjaitan,4,3 tahun lalu,
nasi_goreng_pandu,Erwin Halim,5,3 tahun lalu,Enak...
nasi_goreng_pandu,Dominic Mcall,4,3 tahun lalu,Untuk pesan nasgor nya bisa cepat karena sudah dimasak banyak sebelumnya dan menurut saya mie tiao nya lebih enak
nasi_goreng_pandu,POER WANTO,4,4 tahun lalu,
nasi_goreng_pandu,Talita Almira,5,4 tahun lalu,Ini nasi goreng kesukaan saya dari hamil
nasi_goreng_pandu,Bg Tum,5,4 tahun lalu,
nasi_goreng_pandu,Marthin Sitompul,3,4 tahun lalu,
nasi_goreng_pandu,Andri Putra,5,4 tahun lalu,
nasi_goreng_pandu,Elieser Siregar,5,4 tahun lalu,
nasi_goreng_pandu,Nurul rafiqoh lubis,2,4 tahun lalu,Hambar
nasi_goreng_pandu,Nur Saadah,4,4 tahun lalu,
nasi_goreng_pandu,Edy Prayitno,4,4 tahun lalu,Salah satu kuliner malam di kota medan
nasi_goreng_pandu,Khaeruddin Yusup,5,4 tahun lalu,Mantap
nasi_goreng_pandu,ida Ramawati,5,Diedit 4 tahun lalu,Biasa aja g sesuai harga dgn rasa nya
nasi_goreng_pandu,Kalvin Allan,5,4 tahun lalu,
nasi_goreng_pandu,padri Channel,5,Diedit 4 tahun lalu,Terbaik
nasi_goreng_pandu,Tri Surya Pratama (Pratama Bin Nuroddin),5,4 tahun lalu,Bagus
nasi_goreng_pandu,Tri Surya Pratama,5,4 tahun lalu,Bagus
nasi_goreng_pandu,Par Huta Huta,5,4 tahun lalu,Mantap
nasi_goreng_pandu,Zidane Ramadhan,5,4 tahun lalu,"Istiqlal, semoga, semoga, semoga, semoga, semoga"
nasi_goreng_pandu,Felick,5,4 tahun lalu,
nasi_goreng_pandu,Dody Rustian,5,4 tahun lalu,
nasi_goreng_pandu,ketupat sayur,5,4 tahun lalu,
nasi_goreng_pandu,Joe Van,4,4 tahun lalu,
nasi_goreng_pandu,June Pily,5,4 tahun lalu,Sangat enakk
nasi_goreng_pandu,TENGKU CHANNEL,3,4 tahun lalu,"Nasi goreng nya sedikit, rasa lumayan enak"
nasi_goreng_pandu,G2 Car Wash & Profesional Detailing,5,4 tahun lalu,Semur telor nya TOP
nasi_goreng_pandu,Dikna Angraini Aini,5,4 tahun lalu,
nasi_goreng_pandu,tania Zafirah,5,4 tahun lalu,
nasi_goreng_pandu,Marsanto Hary,3,4 tahun lalu,Lumayan juga nasi goreng nya
nasi_goreng_pandu,Datuk Muhammad Reza,5,4 tahun lalu,Tempat makan the best
nasi_goreng_pandu,desty handayani,5,5 tahun lalu,
nasi_goreng_pandu,Bayu Winata,5,5 tahun lalu,
nasi_goreng_pandu,devi sihombing,5,5 tahun lalu,September
nasi_goreng_pandu,Habkhadowa AA'92,5,5 tahun lalu,
nasi_goreng_pandu,Yenti Anita,5,5 tahun lalu,
nasi_goreng_pandu,Lina Wijaya,5,5 tahun lalu,
nasi_goreng_pandu,Icang Koswara,3,5 tahun lalu,"Rasa biasa, super asin, khas Medan. Porsi dibagi dua, yg satu kalau mau tambah bayar lagi, hihihihi....Tapi menurut saya alangkah lebih sempurna kalau dipercantik garnish nya, ada selada, bawang merah, dan kacang tanah goreng, serta taburan bawang goreng."
nasi_goreng_pandu,Rinazaki RAY,5,5 tahun lalu,
nasi_goreng_pandu,Ridwan Padang,3,5 tahun lalu,Just ordinary nasi goreng
nasi_goreng_pandu,Sugi Atno,5,5 tahun lalu,Cepaat saji
nasi_goreng_pandu,Sherly Ong,5,5 tahun lalu,
nasi_goreng_pandu,Abidin Iwan,4,5 tahun lalu,Rasa nasi goreng sebenarnya 👍👍 …
nasi_goreng_pandu,Jhon Tampu,5,5 tahun lalu,Hai!
nasi_goreng_pandu,Al Nasution,4,5 tahun lalu,Enak
