umkm_id,author,rating,date_relative,text
nasi_goreng_surya,hendra beni,5,sebulan lalu,Rasa yang selalu konsisten setiap saat
nasi_goreng_surya,the local edit,4,sebulan lalu,"Nasi gorengnya enak banget, gurih tapi nggak terlalu berminyak jadi makannya tetap nyaman. Porsinya juga pas, nggak kebanyakan nggak kekurangan. Enaknya lagi bisa dimakan di mobil, praktis banget. Kakaknya juga baik dan ramah 👍"
nasi_goreng_surya,ilman,5,2 bulan lalu,
nasi_goreng_surya,Khairuman Asyhadi,5,2 bulan lalu,
nasi_goreng_surya,Lexa amanda,5,3 bulan lalu,
nasi_goreng_surya,harianto W. K,3,3 bulan lalu,Bagus
nasi_goreng_surya,Putra Aidil,5,3 bulan lalu,
nasi_goreng_surya,Kenzie Oliver,5,4 bulan lalu,
nasi_goreng_surya,Hendra Hanitio,1,4 bulan lalu,
nasi_goreng_surya,ong wei loon,4,4 bulan lalu,
nasi_goreng_surya,Bagus Setiadi,5,4 bulan lalu,"Nasi goreng yang cukup terkenal dan akhirnya baru kesampaian untuk menikmatinya setelah sekian lama. Kebetulan aku pesan yang bungkus dengan harga 20k.

Rasa nasi gorengnya enak namun pedas. Bagi yang gak suka atau gak bisa pedas mungkin tidak bisa menikmati dengan nikmat. Bagiku pedasnya itu pedas yang nagih jadi emang enak di lidahku, gak tau kalau lidah yang lain ya.

Untuk suasana tempatnya agak kurang bagi yang beli bungkus. Karna dapurnya ada di bagian depan dan kalau sedang nunggu terasa panas. Jadi kalau mau nunggu ya di parkiran atau di dalamnya agar tidak kena panasnya api."
nasi_goreng_surya,Khairil amri,5,4 bulan lalu,
nasi_goreng_surya,anggi Gunawan,4,4 bulan lalu,
nasi_goreng_surya,Zulkarnain Harun,5,5 bulan lalu,
nasi_goreng_surya,ari syahputra,5,5 bulan lalu,"tempat makannya sangat sederhana nyaris nggak dapat tempat duduk, tapi nasi goreng dengan rasanya luar biasa maknyosss"
nasi_goreng_surya,Ng Sieuw Hoa,3,Diedit 5 bulan lalu,
nasi_goreng_surya,mirsal suryady,4,5 bulan lalu,
nasi_goreng_surya,Harry Darmawan,5,5 bulan lalu,
nasi_goreng_surya,陈建佑,4,5 bulan lalu,
nasi_goreng_surya,Muhammad Alwi,5,6 bulan lalu,
nasi_goreng_surya,你很蠢,4,6 bulan lalu,Nasi Goreng dengan Ayam Suir. Disajikan tanpa perlu menunggu lama.
