umkm_id,author,rating,date_relative,text
naste,Joshua Andiko Perangin-angin,5,1 hari lalu,Nasi gorengnya unik dan enak. Sate kerangnya juga mantap.
naste,Mutia Fadilla 1,4,3 hari lalu,"Sbtlnya ga paham knp blg nasgor sate daging pdhl itu daging semur yg dipotong kecil.
Rasa lumayan la ponten 8, suka ksini makanan lumayan enak, konsep bagus dan bersih., cuma wt nya msh mau planga plongo"
naste,Fotooo,5,3 hari lalu,
naste,Sefi Gulo,5,4 hari lalu,
naste,sofian arbi,2,6 hari lalu,"Untuk rasa hanya pedas merica aja, untuk rasa tidak terlalu enk, (biasa aja) 6/10 nilainya...
Mohon maaf yaa"
naste,Ihsanul Muharram,5,seminggu lalu,
naste,Meor Rezal Fitri Meor Redwan,3,2 minggu lalu,Jam operasi yang dinyatakan di google tidak tepat. Ia buka jam 11.00am
naste,arief Kurniawan,5,2 minggu lalu,
naste,Nabil Arya,5,2 minggu lalu,
naste,fachri photoyukk,5,2 minggu lalu,
naste,Adelia Adelia,4,3 minggu lalu,Enak semua 🫰🏻
naste,nana ratih,5,sebulan lalu,
naste,teuku heriansyah,4,sebulan lalu,Yaa rank juga
naste,Doni Pangaribuan,1,sebulan lalu,"Mohon maaf. Saya lihat owner nya chines.
Saya mau tanya. Ini resto halal kagak?
Soalnya saya cari lambang halal belum ada. Maaf kalau salah. Saya cuma mau makan yg halal🙏🙏 …"
naste,Jansen Lim,5,sebulan lalu,
naste,Michael Justine,2,sebulan lalu,
naste,V Tj,4,sebulan lalu,
naste,Mohammad Reza,5,sebulan lalu,Nasi goreng nya selalu enak
naste,Novi apriyani lubis,4,sebulan lalu,Cukup enak dan menyenyangkan
naste,Benefit Koffie,3,sebulan lalu,Nasi nya dikit bgt dengan price yang lumayan Tinggi untuk di kota medan
naste,roni noveldo,5,sebulan lalu,Nasi goreng sate
naste,Chan Sin,5,sebulan lalu,
naste,Andri,5,Diedit sebulan lalu,Nasi gorengnya enak agak sedikit pedas mungkin bagi yang ga tahan bisa pesen yang kids yang ga gtu pedas. Boleh tes semur dagingnya juga enak banget klo dimakan bersamaan dengan nasi gorengnya 👍
naste,Daffa .maulana,5,sebulan lalu,
naste,Flappy Bird,1,sebulan lalu,"Salah satu nasgor viral paling tidak enak
Ga percaya tanya aja org2 yg udh pernah coba😌"
naste,Marcellino Tamba,5,sebulan lalu,
naste,Augustinus Ong,4,sebulan lalu,kelahiran
naste,Lita Nurmala,1,sebulan lalu,"Layanan kurang sopan. Saya datang minta nomor antrian… karena orang pada berdiri antri gada tempat. Dan pas saya minta nomor Dijawab sama karyawannya
“ engga ada klo ada kosong langsung duduk” cara ngomongnya Lantang ga profesional kapok makan dsni . Lucu aja ya udah ngantri. Ntar  yg baru datang langsung dapet duduk… yang ada malah BERANTEM.karena rebutan tempat ."
naste,Ayu Dwi sugesti,1,sebulan lalu,Pelayanan buruk
naste,ali imron,4,sebulan lalu,Lebih nyaman dibawa pulang
naste,Yerry Yazika,5,sebulan lalu,Nasi goreng yang enak.
naste,Junaidi Syahputra,1,sebulan lalu,Pelayanan jelek
naste,Diva Audria,1,2 bulan lalu,Pelayanannya buruk
naste,ibnuuazmi GG,5,2 bulan lalu,"Type nasi goreng dengan bumbu kari, rasa lumayan pedas, ada acar bawang dan cabe rawit di setiap meja. Daging sapi nya lumayan banyak dalam seporsi nasi goreng nya.
Untuk minuman, es kopyor kelapa nya segar, untuk es ronde nya menurut saya kurang rasa.
Untuk snack nya ada telur gulung, rasanya enak, telurnya tebal."
naste,Atikah Mahfuza Pangat,4,2 bulan lalu,
naste,Felicio Angga,5,2 bulan lalu,
naste,William Lamana,5,2 bulan lalu,
naste,yourfutureboyfriend riv,1,2 bulan lalu,"Saya pesan nasi goreng 2, kentang goreng tambah air mineral dingin nunggu smpe hampir 2 jam. Yg kluar cuma kentang dan air mineral yg endingnya es nya dh mencair karna kelamaan nunggu. Pegawai selalu mendahulukan yg delivery dari pada yg dine in. Endingnya ku cancel pesanannya. Mnding makan di tempat lain aja, brani take order tapi pas di tanya ke waiters selalu disuruh tunggu"
naste,Darius Tjahjasari,5,2 bulan lalu,
naste,agun anggono,5,2 bulan lalu,Enak 👍👍 …
naste,echa putri,5,2 bulan lalu,
naste,Rn y L,5,2 bulan lalu,
naste,Agus Salim,1,2 bulan lalu,Sangat buruk pelayanan y gak ada yg ramah dan gak ada senyuman sama sekali seakan akan kita ini mau minta makan gratis
naste,Darwin Wu,5,2 bulan lalu,
naste,Teti Mahyuni,3,2 bulan lalu,
naste,Wilson Guinardi,5,2 bulan lalu,
naste,Esteriani Lahagu,4,2 bulan lalu,
naste,Har Yono,5,2 bulan lalu,
naste,Hakim Hanryko,5,2 bulan lalu,🤤🤤🤤🤤🤤
naste,indra candi,5,Diedit 2 bulan lalu,"Nasi goreng nya ueenaaak tenan
Pedas gurih
Apalagi telur mata sapi nya meleleh di mulut
Nyam nyam nyam"
naste,Muhammad Mushab,3,2 bulan lalu,
naste,Jeremy Siregar,5,2 bulan lalu,
naste,Dedy Dedy,5,2 bulan lalu,
naste,Erlita Ginting,1,2 bulan lalu,"Gak real
Nasi goreng nya gak enak
Kentang nya gak worth it dengan harga nya
Beli nya di tanggal 27 Februari 2026 pkl : 23.00 wib
Tukang parkir nya gak sopan"
naste,Ridmin Ngadia,4,2 bulan lalu,
naste,Sukirwan Wongso,5,3 bulan lalu,"Kalo uda bosen nasi goreng pandu dan lain lain.
Wajib coba yg satu ini.
Bikin mengairah lagi hehehe"
naste,jimmy k,5,3 bulan lalu,"Jumlah mejanya terlalu sedikit, tapi mungkin bisa ditingkatkan dengan menambah lantai atas? Dari segi makanan, sangat enak. Telurnya hampir sempurna saat dipesan setengah matang (bisa lebih baik). Cobalah ""telur afro"" mereka jika ini pertama kalinya Anda makan di sini. Mereka menyediakan nasi goreng ""ramah anak"" jika tingkat kepedasannya terlalu tinggi untuk Anda."
naste,surya sitompul,5,3 bulan lalu,"Nastenya enak
Favorit ronde nya seger"
naste,Tanzil Tanzil,5,3 bulan lalu,Enak! Boleh banget di coba. Nasgor sapi kribo
naste,ariefs,4,3 bulan lalu,
naste,Vic Lin,5,3 bulan lalu,
naste,Eye Cctv,1,3 bulan lalu,"Pelayanan yang amburadul, duluan datang tapi yang di kasih makanannya ke orang lain sampai terlewatkan begitu banyak. Kecewa kesan pertama makan disini…"
naste,Andri Chen (Bluemoon),4,3 bulan lalu,
naste,tika prasetya,2,3 bulan lalu,"Rasa nya nasgor nya enak,tapi ga panas.
Pesan air putih gelas nya masih ada bekas lipstik.minta tukar lagi
Tapi yg nyampek msh ttp ada bekas lipstiknya.saat ngelapor ke pelayan muka ya jutek."
naste,Beibi Mon Mon,5,3 bulan lalu,"Bagi yang gak tahan pedas, pesan yang anak"" aja
Bentukan nya juga lucu.. Nice"
naste,Lavendo Kurniawan,5,3 bulan lalu,
naste,Jesikapna Bangun,5,3 bulan lalu,
naste,Tengku Dicky,4,3 bulan lalu,Saya datang ke sini untuk acara Ronde! Sangat menyenangkan.
naste,Kristin Nainggolan,4,3 bulan lalu,"Nasi goreng ny enak,ditambah daging semur ayam yg buat makin gurih dan telur dadar kribo ny aku suka 👍"
naste,Kristin Fara,1,3 bulan lalu,"Dari kasir infonya nanti nama dipanggil, nunggu 15 menit tapi ga dipanggil panggil sedangkan pembeli baru langsung dilayani, akhirnya memutuskan untk lngsung ke bagian packaging buat nanya pesanan, dan bru dikerjain, TAPI ADA PEKERJA CEWE RAMBUT PANJANG NGELAYANI DENGAN KETUS, saya minta sendok tapi sendoknya dibanting.

dan saya sangat tidak layak mendapatkan perlakuan seperti itu. Tolong management di perhatikan kinerja, jngn sampai pelayanan buruk merusak citra usaha"
naste,djaja,5,3 bulan lalu,Ok lah..enak kok..nasgornya
naste,Indra Wijaya,5,3 bulan lalu,
naste,Abi Onefinger,5,3 bulan lalu,"Sekte Nasgor bakulan
Sapi / ayam nya dikit
Telor barendo nya thebest lah"
naste,Awan Setiawan,1,3 bulan lalu,biasa aja...kita sudah pesan minum dsni ....nampaknya bw kopi dari luar harus dimasukkan plastik disuruh taruh kursi biar ga nampak...ditegur smpai 2x pdhl sudh beli minum dsni juga... kopinya ga diminum ditempt ini pdhl...
naste,Elisa Lim,5,4 bulan lalu,Nasi goreng enak. Harga standar
naste,Reyline_ Antonio,1,4 bulan lalu,"Nasi gorengnya asam, sangat pedas. Pelayanannya jelek. Saat ditanya sama staffnya soal rasa yang terlalu pedas, dia bilang ""iya ibu karna kita pake bumbu natural"", nyambung ga?
Kita pesan tiga porsi, yang datang baru 2 porsi karna satu kita minta setengah matang mata sapinya, satu lagi matang. Nah, karena lama keluarnya, yg diantar 2 porsi itu kita sharing dulu..makanya bisa tau rasa nasgornya yang terlalu pedas. Lalu saya tanya lah udah dibuat nasi goreng yang ketiga udah atau belum, katanya belum. Langsung saya request untuk batal aja nasi gorengnya, tapi kata staffnya gabisa. Kami tanya kenapa gabisa dibatalkan, dan dia bilang ""karna sudah kami input ibu, gabisa batal lagi"".  REMINDER: Nasi gorengnya belum dibuat!! Setelah itu pun gaada solusi dari pelayannya, dia cuma berdiri saja melihat kami. Akhirnya kami tanya untuk porsi yang tidak pedas, katanya ""bisa Bu diganti"" hmm.. ga ngerti saya sama sistem INPUT mereka itu gimana, bisa ganti tapi gabisa batal pesanan.. Kalau ga kami tanyakan ada yang ga pedas atau tidak pun, gaakan dikasih solusi sama pelayannya, dia hanya kekeuh gabisa dibatalkan!
Sudah siap kami makan dua porsi nasi goreng, sudah hampir setengah jam pun tidak keluar piring ketiganya. Setelah keluar piring ketiga ternyata bikin emosi meledak aja 😵😵😵 nasi goreng di piring itu tertata dengan bentuk Teddy bear karna nasi goreng tidak pedas itu untuk anak anak, yang jelas sebenarnya tidak perlu karna kami semua yang makan ini orang dewasa.. jadi waktu kami terbuang menunggu mereka menyiapkan piring ketiga disini. Kecewa berat"
naste,Lidiya Manise,1,4 bulan lalu,
naste,Vera Aprilia,5,4 bulan lalu,
naste,nur malia MZ,4,4 bulan lalu,
naste,Ardi Muhammad,1,4 bulan lalu,salah ngasih orderan kayanya. pesan 3 diantar 2
naste,Fadlam Syajida,1,4 bulan lalu,"Bayar pakek uang 100, harga 79, gadak kembalian, malah dibilang ksir lbh diutamakan pakek Qris, klu gt gk ush pakek cash lg dibuat, kede rame tp gadak modal kembalian, dsr!!!"
naste,Si Ganteng Rebahan,5,4 bulan lalu,
naste,Enrico 25maret,1,4 bulan lalu,"Resto sebesar nelayan aja tidak perlu waiting list segala, ini tempat sekelas warkop agam aja byk gaya minta waiting list

utk rasa pedas bgt, pesan telur mala di kasih remah2 telur"
naste,Hp Ku,2,4 bulan lalu,biasa saja tidak sebanding harganya
naste,Galih Wildanu,5,4 bulan lalu,
naste,Gachie Naraya,3,4 bulan lalu,"Aneh & bingung banget. Bisa-bisanya beli nasi goreng dan DINE IN, tapi PAS DATENG DINGIN???? Agak kecewa aja sih, jauh2 dari luar kota, udah ngebayangin rasanya enak, tapi pas dateng gak sesuai ekspektasi.
Tolong banget, minimal sebelum disajikan, bisa dihangatkan lagi nasi gorengnya.

Tempat oke bersih, terang. Service ya biasa aja"
naste,Asyraf auzai,5,4 bulan lalu,
